date,home_team,away_team,home_form,away_form,home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_goals_scored_avg_5,away_goals_scored_avg_5,home_draw_rate,away_draw_rate,home_rank_points,away_rank_points,rank_diff,home_elo,away_elo,elo_diff,home_squad_value_log,away_squad_value_log,squad_value_log_diff,home_attack_vs_away_def,away_attack_vs_home_def,h2h_home_winrate,h2h_avg_goals,is_neutral,outcome,home_goals,away_goals
1994-09-07,Iceland,Sweden,0.5,0.634920634920635,1.2,1.2,2.142857142857143,1.1428571428571428,1.2,2.0,0.25,0.42857142857142855,35.0,61.0,-26.0,1524.6997180729163,1831.8027055033376,-307.1029874304213,6.0,7.208345457453931,-1.2083454574539312,1.05,1.7857142857142858,0.5,2.5,0,2,0.0,1.0
1994-09-07,Faroe Islands,Greece,0.5,0.0,1.2,1.2,0.0,3.3333333333333335,1.2,0.0,0.25,0.0,8.0,40.0,-32.0,1331.8793531906476,1614.5872098858326,-282.707856695185,6.0,6.0,0.0,0.36,0.0,0.5,2.5,0,2,1.0,5.0
1994-09-07,Latvia,Republic of Ireland,0.5,0.3055555555555555,1.2,1.2,0.5,1.0,1.2,0.5,0.25,0.25,18.0,54.0,-36.0,1370.8230390040837,1759.3735980995523,-388.55055909546854,6.0,6.0,0.0,1.2,0.4166666666666667,0.5,2.5,0,2,0.0,3.0
1994-09-07,Liechtenstein,Austria,0.0,0.5,1.0,4.0,1.2,1.2,1.0,1.2,0.0,0.25,2.0,38.0,-36.0,1442.942548458241,1563.5962345795683,-120.65368612132738,6.0,6.7658903823667345,-0.7658903823667345,0.8333333333333334,0.3,0.5,2.5,0,2,0.0,4.0
1994-09-07,Luxembourg,Netherlands,0.5,0.5666666666666667,1.2,1.2,1.6,1.2,1.2,1.6,0.25,0.0,10.0,61.0,-51.0,1111.2108572958289,1863.2446593101868,-752.0338020143579,6.0,7.417829608594168,-1.4178296085941682,1.0,1.3333333333333335,0.5,2.5,0,2,0.0,4.0
1994-09-07,Slovakia,France,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,35.0,53.0,-18.0,1506.4974380396204,1787.8005293009576,-281.30309126133716,6.0,7.632581150619976,-1.632581150619976,1.0,1.0,0.5,2.5,0,1,0.0,0.0
1994-09-07,North Macedonia,Denmark,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,10.0,55.0,-45.0,1527.0280979665326,1780.6900098673648,-253.66191190083214,6.0,6.0,0.0,1.0,1.0,0.5,2.5,0,1,1.0,1.0
1994-09-07,Norway,Belarus,0.4444444444444444,0.5,0.3333333333333333,0.3333333333333333,1.2,1.2,0.3333333333333333,1.2,0.3333333333333333,0.25,58.0,4.0,54.0,1755.251440429127,1481.6314854812822,273.6199549478447,7.3417950651686725,6.0,1.3417950651686725,0.2777777777777778,2.4,0.5,2.5,0,0,1.0,0.0
1994-09-07,Ukraine,Lithuania,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,20.0,18.0,2.0,1533.4959467980145,1400.4137167497918,133.08223004822275,6.0,6.0,0.0,1.0,1.0,0.5,2.5,0,2,0.0,2.0
1994-09-07,Slovenia,Italy,0.5,0.746031746031746,1.2,1.2,1.1428571428571428,0.7142857142857143,1.2,1.4,0.25,0.2857142857142857,21.0,63.0,-42.0,1506.4110817345756,1909.4525229655312,-403.04144123095557,6.0,6.0,0.0,1.68,0.9523809523809523,0.5,2.5,0,1,1.0,1.0
